500
0 133,51 133,51 0,10 Country 3 (Country) 2,00 0
1 3.728,04 3.728,04 0,10 Country 3 (Country) 2,00 3
2 4.665,20 476,37 0,02 Country 3 (Country) 2,00 17
3 5.086,26 298,75 0,02 Country 3 (Country) 2,00 35
4 6.641,43 492,28 0,02 Country 3 (Country) 2,00 43
5 3.338,69 313,42 0,02 Country 3 (Country) 2,00 65
6 4.832,45 446,30 0,02 Country 3 (Country) 2,00 89
7 3.511,62 443,22 0,02 Country 3 (Country) 2,00 103
8 1.901,91 258,57 0,02 Country 3 (Country) 2,00 118
9 2.888,27 417,64 0,02 Country 3 (Country) 2,00 136
10 2.537,41 487,00 0,02 Country 3 (Country) 2,00 150
11 1.523,85 444,02 0,02 Country 3 (Country) 2,00 162
12 1,98 0,42 0,02 Country 3 (Country) 2,00 182
13 1,85 0,29 0,02 Country 3 (Country) 2,00 183
14 1,96 0,53 0,02 Country 3 (Country) 2,00 184
15 0,19 0,02 0,02 Country 3 (Country) 2,00 185
16 0,19 0,06 0,02 Country 3 (Country) 2,00 185
17 421,95 100,00 0,02 Country 3 (Country) 2,00 185
18 0,70 0,19 0,02 Country 3 (Country) 2,00 199
19 0,70 0,22 0,02 Country 3 (Country) 2,00 199
20 421,86 171,28 0,02 Country 3 (Country) 2,00 200
21 0,92 0,32 0,02 Country 3 (Country) 2,00 208
22 0,49 0,11 0,02 Country 3 (Country) 2,00 209
23 0,49 0,18 0,02 Country 3 (Country) 2,00 209
24 0,28 0,12 0,02 Country 3 (Country) 2,00 210
25 0,28 0,09 0,02 Country 3 (Country) 2,00 210
26 86,93 29,64 0,02 Country 3 (Country) 2,00 210
27 54,43 15,10 0,02 Country 3 (Country) 2,00 215
28 0,07 0,02 0,02 Country 3 (Country) 2,00 220
29 0,07 0,02 0,02 Country 3 (Country) 2,00 220
30 210,96 72,97 0,02 Country 3 (Country) 2,00 220
31 211,22 91,47 0,02 Country 3 (Country) 2,00 226
32 0,07 0,02 0,02 Country 3 (Country) 2,00 234
33 210,95 68,22 0,02 Country 3 (Country) 2,00 234
34 211,06 75,43 0,02 Country 3 (Country) 2,00 241
35 0,74 0,28 0,02 Country 3 (Country) 2,00 248
36 211,06 78,54 0,02 Country 3 (Country) 2,00 249
37 0,50 0,21 0,05 Country 3 (Country) 2,00 254
38 0,50 0,19 0,05 Country 3 (Country) 2,00 254
39 120,75 44,25 0,05 Country 3 (Country) 2,00 255
40 96,48 33,83 0,05 Country 3 (Country) 2,00 264
41 108,44 29,23 0,05 Country 3 (Country) 2,00 269
42 61,87 22,59 0,05 Country 3 (Country) 2,00 276
43 0,58 0,20 0,04 Country 3 (Country) 2,00 284
44 0,06 0,02 0,04 Country 3 (Country) 2,00 285
45 0,06 0,02 0,04 Country 3 (Country) 2,00 285
46 0,06 0,02 0,04 Country 3 (Country) 2,00 285
47 0,06 0,02 0,04 Country 3 (Country) 2,00 285
48 0,06 0,02 0,04 Country 3 (Country) 2,00 285
49 0,06 0,02 0,04 Country 3 (Country) 2,00 285
50 0,06 0,02 0,04 Country 3 (Country) 2,00 285
51 82,20 35,67 0,04 Country 3 (Country) 2,00 285
52 283,22 119,58 0,04 Country 3 (Country) 2,00 298
53 0,17 0,07 0,04 Country 3 (Country) 2,00 318
54 283,06 118,90 0,04 Country 3 (Country) 2,00 319
55 241,80 102,37 0,04 Country 3 (Country) 2,00 343
56 61,76 26,23 0,04 Country 3 (Country) 2,00 371
57 105,65 45,21 0,04 Country 3 (Country) 2,00 377
58 61,52 27,96 0,04 Country 3 (Country) 2,00 390
59 90,88 41,23 0,04 Country 3 (Country) 2,00 396
60 75,24 32,91 0,04 Country 3 (Country) 2,00 409
61 0,42 0,19 0,04 Country 3 (Country) 2,00 422
62 0,33 0,15 0,04 Country 3 (Country) 2,00 423
63 0,25 0,10 0,04 Country 3 (Country) 2,00 424
64 280,81 129,68 0,04 Country 3 (Country) 2,00 425
65 842,09 390,24 0,04 Country 3 (Country) 2,00 447
66 17,45 7,90 0,04 Country 3 (Country) 2,00 497
67 0,08 0,03 0,04 Country 3 (Country) 2,00 500
68 280,72 109,36 0,04 Country 3 (Country) 2,00 500
69 401,64 172,13 0,04 Country 3 (Country) 2,00 537
70 0,23 0,10 0,04 Country 3 (Country) 2,00 543
71 0,13 0,05 0,04 Country 3 (Country) 2,00 544
72 0,13 0,05 0,04 Country 3 (Country) 2,00 544
73 0,13 0,06 0,04 Country 3 (Country) 2,00 544
74 0,04 0,02 0,04 Country 3 (Country) 2,00 545
75 0,04 0,02 0,04 Country 3 (Country) 2,00 545
76 0,04 0,02 0,04 Country 3 (Country) 2,00 545
77 0,04 0,02 0,04 Country 3 (Country) 2,00 545
78 0,04 0,02 0,04 Country 3 (Country) 2,00 545
79 0,04 0,02 0,04 Country 3 (Country) 2,00 545
80 0,04 0,02 0,04 Country 3 (Country) 2,00 545
81 0,04 0,02 0,04 Country 3 (Country) 2,00 545
82 0,04 0,02 0,04 Country 3 (Country) 2,00 545
83 0,04 0,02 0,04 Country 3 (Country) 2,00 545
84 0,04 0,02 0,04 Country 3 (Country) 2,00 545
85 0,04 0,02 0,04 Country 3 (Country) 2,00 545
86 0,04 0,02 0,04 Country 3 (Country) 2,00 545
87 0,04 0,02 0,04 Country 3 (Country) 2,00 545
88 0,04 0,02 0,04 Country 3 (Country) 2,00 545
89 0,04 0,02 0,04 Country 3 (Country) 2,00 545
90 0,04 0,02 0,04 Country 3 (Country) 2,00 545
91 0,04 0,02 0,04 Country 3 (Country) 2,00 545
92 0,04 0,02 0,04 Country 3 (Country) 2,00 545
93 0,04 0,02 0,04 Country 3 (Country) 2,00 545
94 0,04 0,02 0,04 Country 3 (Country) 2,00 545
95 0,04 0,02 0,04 Country 3 (Country) 2,00 545
96 0,04 0,02 0,04 Country 3 (Country) 2,00 545
97 0,04 0,02 0,04 Country 3 (Country) 2,00 545
98 0,04 0,02 0,04 Country 3 (Country) 2,00 545
99 0,04 0,02 0,04 Country 3 (Country) 2,00 545
100 0,04 0,02 0,04 Country 3 (Country) 2,00 545
101 0,04 0,02 0,04 Country 3 (Country) 2,00 545
102 0,04 0,02 0,04 Country 3 (Country) 2,00 545
103 0,04 0,02 0,04 Country 3 (Country) 2,00 545
104 0,04 0,02 0,04 Country 3 (Country) 2,00 545
105 0,04 0,02 0,04 Country 3 (Country) 2,00 545
106 0,04 0,02 0,04 Country 3 (Country) 2,00 545
107 0,04 0,02 0,04 Country 3 (Country) 2,00 545
108 0,04 0,02 0,04 Country 3 (Country) 2,00 545
109 0,04 0,02 0,04 Country 3 (Country) 2,00 545
110 0,04 0,02 0,04 Country 3 (Country) 2,00 545
111 0,04 0,02 0,04 Country 3 (Country) 2,00 545
112 0,04 0,02 0,04 Country 3 (Country) 2,00 545
113 0,04 0,02 0,04 Country 3 (Country) 2,00 545
114 0,04 0,02 0,04 Country 3 (Country) 2,00 545
115 0,04 0,02 0,04 Country 3 (Country) 2,00 545
116 0,04 0,02 0,04 Country 3 (Country) 2,00 545
117 0,04 0,02 0,04 Country 3 (Country) 2,00 545
118 0,04 0,02 0,04 Country 3 (Country) 2,00 545
119 0,04 0,02 0,04 Country 3 (Country) 2,00 545
120 0,04 0,02 0,04 Country 3 (Country) 2,00 545
121 0,04 0,02 0,04 Country 3 (Country) 2,00 545
122 0,04 0,02 0,04 Country 3 (Country) 2,00 545
123 0,04 0,02 0,04 Country 3 (Country) 2,00 545
124 0,04 0,02 0,04 Country 3 (Country) 2,00 545
125 0,04 0,02 0,04 Country 3 (Country) 2,00 545
126 0,04 0,02 0,04 Country 3 (Country) 2,00 545
127 0,04 0,02 0,04 Country 3 (Country) 2,00 545
128 0,04 0,02 0,04 Country 3 (Country) 2,00 545
129 0,04 0,02 0,04 Country 3 (Country) 2,00 545
130 0,04 0,02 0,04 Country 3 (Country) 2,00 545
131 0,04 0,02 0,04 Country 3 (Country) 2,00 545
132 0,04 0,02 0,04 Country 3 (Country) 2,00 545
133 0,04 0,02 0,04 Country 3 (Country) 2,00 545
134 0,04 0,02 0,04 Country 3 (Country) 2,00 545
135 0,04 0,02 0,04 Country 3 (Country) 2,00 545
136 0,04 0,02 0,04 Country 3 (Country) 2,00 545
137 0,04 0,02 0,04 Country 3 (Country) 2,00 545
138 0,04 0,02 0,04 Country 3 (Country) 2,00 545
139 0,04 0,02 0,04 Country 3 (Country) 2,00 545
140 0,04 0,02 0,04 Country 3 (Country) 2,00 545
141 0,04 0,02 0,04 Country 3 (Country) 2,00 545
142 0,04 0,02 0,04 Country 3 (Country) 2,00 545
143 0,04 0,02 0,04 Country 3 (Country) 2,00 545
144 0,04 0,02 0,04 Country 3 (Country) 2,00 545
145 0,04 0,02 0,04 Country 3 (Country) 2,00 545
146 0,04 0,02 0,04 Country 3 (Country) 2,00 545
147 0,04 0,02 0,04 Country 3 (Country) 2,00 545
148 0,04 0,02 0,04 Country 3 (Country) 2,00 545
149 0,04 0,02 0,04 Country 3 (Country) 2,00 545
150 0,04 0,02 0,04 Country 3 (Country) 2,00 545
151 0,04 0,02 0,04 Country 3 (Country) 2,00 545
152 0,04 0,02 0,04 Country 3 (Country) 2,00 545
153 0,04 0,02 0,04 Country 3 (Country) 2,00 545
154 0,04 0,02 0,04 Country 3 (Country) 2,00 545
155 0,04 0,02 0,04 Country 3 (Country) 2,00 545
156 0,04 0,02 0,04 Country 3 (Country) 2,00 545
157 0,04 0,02 0,04 Country 3 (Country) 2,00 545
158 0,04 0,02 0,04 Country 3 (Country) 2,00 545
159 0,04 0,02 0,04 Country 3 (Country) 2,00 545
160 0,04 0,02 0,04 Country 3 (Country) 2,00 545
161 0,04 0,02 0,04 Country 3 (Country) 2,00 545
162 0,04 0,02 0,04 Country 3 (Country) 2,00 545
163 0,04 0,02 0,04 Country 3 (Country) 2,00 545
164 0,04 0,02 0,04 Country 3 (Country) 2,00 545
165 0,04 0,02 0,04 Country 3 (Country) 2,00 545
166 0,04 0,02 0,04 Country 3 (Country) 2,00 545
167 0,04 0,02 0,04 Country 3 (Country) 2,00 545
168 0,04 0,02 0,04 Country 3 (Country) 2,00 545
169 0,04 0,02 0,04 Country 3 (Country) 2,00 545
170 0,04 0,02 0,04 Country 3 (Country) 2,00 545
171 0,04 0,02 0,04 Country 3 (Country) 2,00 545
172 0,04 0,02 0,04 Country 3 (Country) 2,00 545
173 0,04 0,02 0,04 Country 3 (Country) 2,00 545
174 0,04 0,02 0,04 Country 3 (Country) 2,00 545
175 0,04 0,02 0,04 Country 3 (Country) 2,00 545
176 0,04 0,02 0,04 Country 3 (Country) 2,00 545
177 0,04 0,02 0,04 Country 3 (Country) 2,00 545
178 0,04 0,02 0,04 Country 3 (Country) 2,00 545
179 0,04 0,02 0,04 Country 3 (Country) 2,00 545
180 0,04 0,02 0,04 Country 3 (Country) 2,00 545
181 0,04 0,02 0,04 Country 3 (Country) 2,00 545
182 0,04 0,02 0,04 Country 3 (Country) 2,00 545
183 0,04 0,02 0,04 Country 3 (Country) 2,00 545
184 0,04 0,02 0,04 Country 3 (Country) 2,00 545
185 0,04 0,02 0,04 Country 3 (Country) 2,00 545
186 0,04 0,02 0,04 Country 3 (Country) 2,00 545
187 0,04 0,02 0,04 Country 3 (Country) 2,00 545
188 0,04 0,02 0,04 Country 3 (Country) 2,00 545
189 0,04 0,02 0,04 Country 3 (Country) 2,00 545
190 0,04 0,02 0,04 Country 3 (Country) 2,00 545
191 0,04 0,02 0,04 Country 3 (Country) 2,00 545
192 0,04 0,02 0,04 Country 3 (Country) 2,00 545
193 0,04 0,02 0,04 Country 3 (Country) 2,00 545
194 0,04 0,02 0,04 Country 3 (Country) 2,00 545
195 0,04 0,02 0,04 Country 3 (Country) 2,00 545
196 0,04 0,02 0,04 Country 3 (Country) 2,00 545
197 0,04 0,02 0,04 Country 3 (Country) 2,00 545
198 0,04 0,02 0,04 Country 3 (Country) 2,00 545
199 0,04 0,02 0,04 Country 3 (Country) 2,00 545
200 0,04 0,02 0,04 Country 3 (Country) 2,00 545
201 0,04 0,02 0,04 Country 3 (Country) 2,00 545
202 0,04 0,02 0,04 Country 3 (Country) 2,00 545
203 0,04 0,02 0,04 Country 3 (Country) 2,00 545
204 0,04 0,02 0,04 Country 3 (Country) 2,00 545
205 0,04 0,02 0,04 Country 3 (Country) 2,00 545
206 0,04 0,02 0,04 Country 3 (Country) 2,00 545
207 0,04 0,02 0,04 Country 3 (Country) 2,00 545
208 0,04 0,02 0,04 Country 3 (Country) 2,00 545
209 0,04 0,02 0,04 Country 3 (Country) 2,00 545
210 0,04 0,02 0,04 Country 3 (Country) 2,00 545
211 0,04 0,02 0,04 Country 3 (Country) 2,00 545
212 0,04 0,02 0,04 Country 3 (Country) 2,00 545
213 0,04 0,02 0,04 Country 3 (Country) 2,00 545
214 0,04 0,02 0,04 Country 3 (Country) 2,00 545
215 0,04 0,02 0,04 Country 3 (Country) 2,00 545
216 0,04 0,02 0,04 Country 3 (Country) 2,00 545
217 0,04 0,02 0,04 Country 3 (Country) 2,00 545
218 0,04 0,02 0,04 Country 3 (Country) 2,00 545
219 0,04 0,02 0,04 Country 3 (Country) 2,00 545
220 0,04 0,02 0,04 Country 3 (Country) 2,00 545
221 0,04 0,02 0,04 Country 3 (Country) 2,00 545
222 0,04 0,02 0,04 Country 3 (Country) 2,00 545
223 0,04 0,02 0,04 Country 3 (Country) 2,00 545
224 0,04 0,02 0,04 Country 3 (Country) 2,00 545
225 0,04 0,02 0,04 Country 3 (Country) 2,00 545
226 0,04 0,02 0,04 Country 3 (Country) 2,00 545
227 0,04 0,02 0,04 Country 3 (Country) 2,00 545
228 0,04 0,02 0,04 Country 3 (Country) 2,00 545
229 0,04 0,02 0,04 Country 3 (Country) 2,00 545
230 0,00 0,00 0,04 Country 3 (Country) 2,00 546
231 0,00 0,00 0,04 Country 3 (Country) 2,00 546
232 0,00 0,00 0,04 Country 3 (Country) 2,00 546
233 0,00 0,00 0,04 Country 3 (Country) 2,00 546
234 0,00 0,00 0,04 Country 3 (Country) 2,00 546
235 0,00 0,00 0,04 Country 3 (Country) 2,00 546
236 0,00 0,00 0,04 Country 3 (Country) 2,00 546
237 0,00 0,00 0,04 Country 3 (Country) 2,00 546
238 0,00 0,00 0,04 Country 3 (Country) 2,00 546
239 0,00 0,00 0,04 Country 3 (Country) 2,00 546
240 0,00 0,00 0,04 Country 3 (Country) 2,00 546
241 0,00 0,00 0,04 Country 3 (Country) 2,00 546
242 0,00 0,00 0,04 Country 3 (Country) 2,00 546
243 0,00 0,00 0,04 Country 3 (Country) 2,00 546
244 0,00 0,00 0,04 Country 3 (Country) 2,00 546
245 0,00 0,00 0,04 Country 3 (Country) 2,00 546
246 0,00 0,00 0,04 Country 3 (Country) 2,00 546
247 0,00 0,00 0,04 Country 3 (Country) 2,00 546
248 0,00 0,00 0,04 Country 3 (Country) 2,00 546
