1000
0 152,74 152,74 0,09 Country 5 (Country) 2,00 0
1 19,70 19,70 0,09 Country 5 (Country) 2,00 57
2 54,78 40,56 0,09 Country 5 (Country) 2,00 72
3 16,91 13,08 0,09 Country 5 (Country) 2,00 76
4 16,91 13,22 0,09 Country 5 (Country) 2,00 76
5 16,91 13,29 0,09 Country 5 (Country) 2,00 76
6 16,91 13,41 0,09 Country 5 (Country) 2,00 76
7 16,91 13,47 0,09 Country 5 (Country) 2,00 76
8 16,91 13,47 0,09 Country 5 (Country) 2,00 76
9 16,91 13,47 0,09 Country 5 (Country) 2,00 76
10 16,91 13,47 0,09 Country 5 (Country) 2,00 76
11 16,91 13,47 0,09 Country 5 (Country) 2,00 76
12 16,91 13,47 0,09 Country 5 (Country) 2,00 76
13 16,91 13,47 0,09 Country 5 (Country) 2,00 76
14 16,91 13,47 0,09 Country 5 (Country) 2,00 76
15 16,91 13,47 0,09 Country 5 (Country) 2,00 76
16 16,91 13,47 0,09 Country 5 (Country) 2,00 76
17 16,91 13,47 0,09 Country 5 (Country) 2,00 76
18 16,91 13,47 0,09 Country 5 (Country) 2,00 76
19 16,91 13,47 0,09 Country 5 (Country) 2,00 76
20 16,91 13,47 0,09 Country 5 (Country) 2,00 76
21 16,91 13,47 0,09 Country 5 (Country) 2,00 76
22 16,91 13,47 0,09 Country 5 (Country) 2,00 76
23 16,91 13,47 0,09 Country 5 (Country) 2,00 76
24 16,91 13,47 0,09 Country 5 (Country) 2,00 76
25 16,91 13,47 0,09 Country 5 (Country) 2,00 76
26 16,91 13,47 0,09 Country 5 (Country) 2,00 76
27 16,91 13,47 0,09 Country 5 (Country) 2,00 76
28 16,91 13,47 0,09 Country 5 (Country) 2,00 76
29 16,91 13,47 0,09 Country 5 (Country) 2,00 76
30 16,91 13,47 0,09 Country 5 (Country) 2,00 76
31 201,44 160,43 0,09 Country 5 (Country) 2,00 124
32 217,54 192,34 0,09 Country 5 (Country) 2,00 174
33 113,74 104,13 0,09 Country 5 (Country) 2,00 206
34 0,19 0,19 0,09 Country 5 (Country) 2,00 219
35 0,23 0,25 0,09 Country 5 (Country) 2,00 224
36 0,27 0,28 0,09 Country 5 (Country) 2,00 231
37 0,30 0,31 0,09 Country 5 (Country) 2,00 235
38 0,20 0,21 0,06 Country 5 (Country) 2,00 239
39 0,30 0,32 0,06 Country 5 (Country) 2,00 245
40 0,23 0,24 0,06 Country 5 (Country) 2,00 249
41 0,26 0,28 0,06 Country 5 (Country) 2,00 254
42 0,49 0,53 0,06 Country 5 (Country) 2,00 257
43 0,50 0,53 0,06 Country 5 (Country) 2,00 259
44 0,25 0,27 0,06 Country 5 (Country) 2,00 262
45 0,25 0,27 0,06 Country 5 (Country) 2,00 262
46 0,25 0,27 0,06 Country 5 (Country) 2,00 262
47 0,25 0,27 0,06 Country 5 (Country) 2,00 262
48 0,25 0,27 0,06 Country 5 (Country) 2,00 262
49 0,25 0,27 0,06 Country 5 (Country) 2,00 262
50 0,25 0,27 0,06 Country 5 (Country) 2,00 262
51 0,25 0,27 0,06 Country 5 (Country) 2,00 262
52 0,25 0,27 0,06 Country 5 (Country) 2,00 262
53 0,25 0,27 0,06 Country 5 (Country) 2,00 262
54 0,25 0,27 0,06 Country 5 (Country) 2,00 262
55 0,25 0,27 0,06 Country 5 (Country) 2,00 262
56 0,25 0,27 0,06 Country 5 (Country) 2,00 262
57 0,25 0,27 0,06 Country 5 (Country) 2,00 262
58 0,25 0,27 0,06 Country 5 (Country) 2,00 262
59 0,25 0,27 0,06 Country 5 (Country) 2,00 262
60 0,25 0,27 0,06 Country 5 (Country) 2,00 262
61 0,25 0,27 0,06 Country 5 (Country) 2,00 262
62 0,25 0,27 0,06 Country 5 (Country) 2,00 262
63 0,25 0,27 0,06 Country 5 (Country) 2,00 262
64 0,25 0,27 0,06 Country 5 (Country) 2,00 262
65 0,25 0,27 0,06 Country 5 (Country) 2,00 262
66 0,25 0,27 0,06 Country 5 (Country) 2,00 262
67 0,25 0,27 0,06 Country 5 (Country) 2,00 262
68 0,25 0,27 0,06 Country 5 (Country) 2,00 262
69 0,25 0,27 0,06 Country 5 (Country) 2,00 262
70 0,25 0,27 0,06 Country 5 (Country) 2,00 262
71 0,25 0,27 0,06 Country 5 (Country) 2,00 262
72 0,25 0,27 0,06 Country 5 (Country) 2,00 262
73 0,25 0,27 0,06 Country 5 (Country) 2,00 262
74 0,25 0,27 0,06 Country 5 (Country) 2,00 262
75 0,25 0,27 0,06 Country 5 (Country) 2,00 262
76 0,25 0,27 0,06 Country 5 (Country) 2,00 262
77 0,25 0,27 0,06 Country 5 (Country) 2,00 262
78 0,25 0,27 0,06 Country 5 (Country) 2,00 262
79 0,25 0,27 0,06 Country 5 (Country) 2,00 262
80 0,25 0,27 0,06 Country 5 (Country) 2,00 262
81 0,25 0,27 0,06 Country 5 (Country) 2,00 262
82 0,25 0,27 0,06 Country 5 (Country) 2,00 262
83 0,25 0,27 0,06 Country 5 (Country) 2,00 262
84 0,25 0,27 0,06 Country 5 (Country) 2,00 262
85 0,25 0,27 0,06 Country 5 (Country) 2,00 262
86 0,25 0,27 0,06 Country 5 (Country) 2,00 262
87 0,25 0,27 0,06 Country 5 (Country) 2,00 262
88 0,25 0,27 0,06 Country 5 (Country) 2,00 262
89 0,25 0,27 0,06 Country 5 (Country) 2,00 262
90 0,25 0,27 0,06 Country 5 (Country) 2,00 262
91 0,00 0,00 0,06 Country 5 (Country) 2,00 263
92 0,00 0,00 0,06 Country 5 (Country) 2,00 263
93 0,00 0,00 0,06 Country 5 (Country) 2,00 263
94 0,00 0,00 0,06 Country 5 (Country) 2,00 263
95 0,00 0,00 0,06 Country 5 (Country) 2,00 263
96 0,00 0,00 0,06 Country 5 (Country) 2,00 263
97 0,00 0,00 0,06 Country 5 (Country) 2,00 263
98 0,00 0,00 0,06 Country 5 (Country) 2,00 263
99 0,00 0,00 0,06 Country 5 (Country) 2,00 263
100 0,00 0,00 0,06 Country 5 (Country) 2,00 263
101 0,00 0,00 0,06 Country 5 (Country) 2,00 263
102 0,00 0,00 0,06 Country 5 (Country) 2,00 263
103 0,00 0,00 0,06 Country 5 (Country) 2,00 263
104 0,00 0,00 0,06 Country 5 (Country) 2,00 263
105 0,00 0,00 0,06 Country 5 (Country) 2,00 263
106 0,00 0,00 0,06 Country 5 (Country) 2,00 263
107 0,00 0,00 0,06 Country 5 (Country) 2,00 263
108 0,00 0,00 0,06 Country 5 (Country) 2,00 263
109 0,00 0,00 0,06 Country 5 (Country) 2,00 263
110 0,00 0,00 0,06 Country 5 (Country) 2,00 263
111 0,00 0,00 0,06 Country 5 (Country) 2,00 263
112 0,00 0,00 0,06 Country 5 (Country) 2,00 263
113 0,00 0,00 0,06 Country 5 (Country) 2,00 263
114 0,00 0,00 0,06 Country 5 (Country) 2,00 263
115 0,00 0,00 0,06 Country 5 (Country) 2,00 263
116 0,00 0,00 0,06 Country 5 (Country) 2,00 263
117 0,00 0,00 0,06 Country 5 (Country) 2,00 263
118 0,00 0,00 0,06 Country 5 (Country) 2,00 263
119 0,00 0,00 0,06 Country 5 (Country) 2,00 263
120 0,00 0,00 0,06 Country 5 (Country) 2,00 263
121 0,00 0,00 0,06 Country 5 (Country) 2,00 263
122 0,00 0,00 0,06 Country 5 (Country) 2,00 263
123 0,00 0,00 0,06 Country 5 (Country) 2,00 263
124 0,00 0,00 0,06 Country 5 (Country) 2,00 263
125 0,00 0,00 0,06 Country 5 (Country) 2,00 263
126 0,00 0,00 0,06 Country 5 (Country) 2,00 263
127 0,00 0,00 0,06 Country 5 (Country) 2,00 263
128 0,00 0,00 0,06 Country 5 (Country) 2,00 263
129 0,00 0,00 0,06 Country 5 (Country) 2,00 263
130 0,00 0,00 0,06 Country 5 (Country) 2,00 263
131 0,00 0,00 0,06 Country 5 (Country) 2,00 263
132 0,00 0,00 0,06 Country 5 (Country) 2,00 263
133 0,00 0,00 0,06 Country 5 (Country) 2,00 263
134 0,00 0,00 0,06 Country 5 (Country) 2,00 263
135 0,00 0,00 0,06 Country 5 (Country) 2,00 263
136 0,00 0,00 0,06 Country 5 (Country) 2,00 263
137 0,00 0,00 0,06 Country 5 (Country) 2,00 263
138 0,00 0,00 0,06 Country 5 (Country) 2,00 263
139 0,00 0,00 0,06 Country 5 (Country) 2,00 263
140 0,00 0,00 0,06 Country 5 (Country) 2,00 263
141 0,46 0,50 0,06 Country 5 (Country) 2,00 263
142 0,46 0,50 0,06 Country 5 (Country) 2,00 263
143 0,46 0,50 0,06 Country 5 (Country) 2,00 263
144 0,46 0,50 0,06 Country 5 (Country) 2,00 263
145 0,46 0,50 0,06 Country 5 (Country) 2,00 263
146 0,46 0,50 0,06 Country 5 (Country) 2,00 263
147 0,46 0,50 0,06 Country 5 (Country) 2,00 263
148 0,46 0,50 0,06 Country 5 (Country) 2,00 263
149 0,46 0,50 0,06 Country 5 (Country) 2,00 263
150 0,46 0,50 0,06 Country 5 (Country) 2,00 263
151 0,01 0,01 0,06 Country 5 (Country) 2,00 264
152 0,05 0,06 0,32 Country 5 (Country) 2,00 265
153 0,05 0,06 0,32 Country 5 (Country) 2,00 265
154 0,05 0,06 0,32 Country 5 (Country) 2,00 265
155 0,05 0,06 0,32 Country 5 (Country) 2,00 265
156 0,05 0,06 0,32 Country 5 (Country) 2,00 265
157 0,05 0,06 0,32 Country 5 (Country) 2,00 265
158 0,05 0,05 0,32 Country 5 (Country) 2,00 266
159 0,04 0,04 0,32 Country 5 (Country) 2,00 267
160 0,04 0,04 0,32 Country 5 (Country) 2,00 268
161 0,03 0,03 0,32 Country 5 (Country) 2,00 269
162 0,03 0,03 0,32 Country 5 (Country) 2,00 270
163 0,02 0,02 0,26 Country 5 (Country) 2,00 271
164 0,02 0,02 0,26 Country 5 (Country) 2,00 272
165 0,01 0,01 0,26 Country 5 (Country) 2,00 273
166 0,01 0,01 0,26 Country 5 (Country) 2,00 274
167 0,00 0,00 0,26 Country 5 (Country) 2,00 275
168 0,00 0,00 0,26 Country 5 (Country) 2,00 275
169 0,00 0,00 0,26 Country 5 (Country) 2,00 275
170 0,00 0,00 0,26 Country 5 (Country) 2,00 275
171 0,00 0,00 0,26 Country 5 (Country) 2,00 275
172 0,00 0,00 0,26 Country 5 (Country) 2,00 275
173 0,00 0,00 0,26 Country 5 (Country) 2,00 275
174 0,00 0,00 0,26 Country 5 (Country) 2,00 275
175 0,00 0,00 0,26 Country 5 (Country) 2,00 275
176 0,00 0,00 0,26 Country 5 (Country) 2,00 275
177 0,00 0,00 0,26 Country 5 (Country) 2,00 275
178 0,00 0,00 0,26 Country 5 (Country) 2,00 275
179 0,00 0,00 0,26 Country 5 (Country) 2,00 275
180 0,00 0,00 0,26 Country 5 (Country) 2,00 275
181 0,00 0,00 0,26 Country 5 (Country) 2,00 275
182 0,00 0,00 0,26 Country 5 (Country) 2,00 275
183 0,00 0,00 0,26 Country 5 (Country) 2,00 275
184 0,00 0,00 0,26 Country 5 (Country) 2,00 275
185 0,00 0,00 0,26 Country 5 (Country) 2,00 275
186 0,00 0,00 0,26 Country 5 (Country) 2,00 275
187 0,00 0,00 0,26 Country 5 (Country) 2,00 275
188 0,00 0,00 0,26 Country 5 (Country) 2,00 275
189 0,00 0,00 0,26 Country 5 (Country) 2,00 275
190 0,00 0,00 0,26 Country 5 (Country) 2,00 275
191 0,00 0,00 0,26 Country 5 (Country) 2,00 275
192 0,00 0,00 0,26 Country 5 (Country) 2,00 275
193 0,00 0,00 0,26 Country 5 (Country) 2,00 275
194 0,00 0,00 0,26 Country 5 (Country) 2,00 275
195 0,33 0,36 0,26 Country 5 (Country) 2,00 275
196 0,33 0,36 0,26 Country 5 (Country) 2,00 275
197 0,33 0,36 0,26 Country 5 (Country) 2,00 275
198 0,33 0,36 0,26 Country 5 (Country) 2,00 275
199 0,33 0,36 0,26 Country 5 (Country) 2,00 275
200 0,33 0,36 0,26 Country 5 (Country) 2,00 275
201 0,33 0,36 0,26 Country 5 (Country) 2,00 275
202 0,33 0,36 0,26 Country 5 (Country) 2,00 275
203 0,33 0,36 0,26 Country 5 (Country) 2,00 275
204 0,33 0,36 0,26 Country 5 (Country) 2,00 275
205 0,33 0,36 0,26 Country 5 (Country) 2,00 275
206 0,33 0,36 0,26 Country 5 (Country) 2,00 275
207 0,33 0,36 0,26 Country 5 (Country) 2,00 275
208 0,33 0,36 0,26 Country 5 (Country) 2,00 275
209 0,33 0,36 0,26 Country 5 (Country) 2,00 275
210 0,33 0,36 0,26 Country 5 (Country) 2,00 275
211 0,00 0,00 0,26 Country 5 (Country) 2,00 276
212 0,04 0,04 0,80 Country 5 (Country) 2,00 277
213 0,04 0,04 0,80 Country 5 (Country) 2,00 277
214 0,04 0,04 0,80 Country 5 (Country) 2,00 277
215 0,04 0,04 0,80 Country 5 (Country) 2,00 277
216 0,04 0,04 0,80 Country 5 (Country) 2,00 277
217 0,04 0,04 0,80 Country 5 (Country) 2,00 277
218 0,04 0,04 0,80 Country 5 (Country) 2,00 277
219 0,04 0,04 0,80 Country 5 (Country) 2,00 277
220 0,04 0,04 0,80 Country 5 (Country) 2,00 277
221 0,04 0,04 0,80 Country 5 (Country) 2,00 277
222 0,04 0,04 0,80 Country 5 (Country) 2,00 277
223 0,04 0,04 0,80 Country 5 (Country) 2,00 277
224 0,04 0,04 0,80 Country 5 (Country) 2,00 277
225 0,04 0,04 0,80 Country 5 (Country) 2,00 277
226 0,04 0,04 0,80 Country 5 (Country) 2,00 277
227 0,04 0,04 0,80 Country 5 (Country) 2,00 277
228 0,04 0,04 0,80 Country 5 (Country) 2,00 277
229 0,04 0,04 0,80 Country 5 (Country) 2,00 277
230 0,04 0,04 0,80 Country 5 (Country) 2,00 277
231 0,04 0,04 0,80 Country 5 (Country) 2,00 277
232 0,04 0,04 0,80 Country 5 (Country) 2,00 277
233 0,04 0,04 0,80 Country 5 (Country) 2,00 277
234 0,04 0,04 0,80 Country 5 (Country) 2,00 277
235 0,04 0,04 0,80 Country 5 (Country) 2,00 277
236 0,04 0,04 0,80 Country 5 (Country) 2,00 277
