500
0 8.268,31 0,00 8.268,31 0,00 0
1 2.031,84 23.468,37 2.031,84 23.468,37 0
2 2.045,39 29.895,66 589,91 8.622,18 -2,850411720441
3 2.244,67 28.308,56 847,74 10.691,24 -9,07136357654117
4 2.510,56 31.232,17 1.106,35 13.763,30 -24,0428059811748
5 2.783,13 31.296,31 1.358,11 15.271,93 -29,6708790431093
6 2.983,54 29.948,23 1.709,06 17.155,26 75,6578993050016
7 3.306,38 27.112,92 1.984,28 16.271,43 207,48474818309
8 3.635,17 25.716,80 2.207,33 15.615,67 108,641496197731
9 3.985,93 24.337,57 2.676,16 16.340,28 300,184191700614
10 10,83 18.702,44 6,39 11.038,56 628,873288229347
11 10,86 17.392,13 5,66 9.060,06 50,9040821034475
12 18,76 15.057,59 9,41 7.555,04 50,9040821034475
13 33,92 14.625,80 18,02 7.770,48 123,246817288834
14 42,47 14.237,09 29,38 9.846,50 6,93591708334368
15 24,98 14.644,87 8,91 5.222,10 191,751679995137
16 1,39 11.172,93 0,98 7.878,38 184,158174693279
17 22,92 11.938,25 13,19 6.869,13 81,8512085570475
18 529,96 27.862,97 296,33 15.579,64 243,210829545667
19 54,54 29.647,70 48,19 26.197,00 134,333902032401
20 39,00 28.731,37 36,97 27.237,57 169,129781521346
21 61,60 31.262,19 54,49 27.652,48 263,018006945158
22 4.383,09 37.381,06 3.615,34 30.833,36 286,115978776043
23 59,90 33.378,06 69,88 38.942,81 593,992950947101
24 38,36 37.305,47 37,63 36.595,36 247,20974972578
25 43,70 40.445,26 47,29 43.775,85 303,588277594931
26 0,02 40.708,48 0,02 46.148,29 234,901674465227
27 1,69 39.539,86 1,63 38.193,28 241,562611126327
28 4.728,10 45.076,09 4.000,21 38.136,60 150,875861811288
29 36,43 43.377,60 42,73 50.883,22 165,609652019411
30 22,29 40.568,67 23,75 43.230,05 24,647600451764
31 4,90 42.930,35 4,50 39.430,54 28,0968886482931
32 2,28 42.603,23 1,90 35.505,01 12,814850728272
33 4,54 42.226,31 3,64 33.841,76 8,25360835623007
34 1,75 43.921,90 1,43 35.889,15 -30,3226748214995
35 3,79 42.907,54 3,30 37.265,26 -13,9464549636448
36 2,20 42.025,94 1,83 34.894,03 -21,3757164235896
37 2,33 40.980,96 1,86 32.695,83 -5,52878999547783
38 2,35 40.193,27 1,78 30.434,10 -8,96793305657616
39 1,28 40.263,81 0,92 28.862,43 6,17669393988431
40 0,85 40.927,48 0,59 28.248,44 -1,55024096337279
41 1,49 45.912,76 0,81 24.986,86 20,6365575488868
42 1,48 45.756,58 1,19 36.831,55 -47,0121601205016
43 3,09 47.210,30 2,33 35.513,77 -54,949241279014
44 3,05 47.680,23 2,36 36.959,82 -45,3266099638027
45 3,76 48.206,08 2,90 37.155,36 -43,2396367485519
46 4,18 49.453,84 3,24 38.388,87 -36,1304115012643
47 1,94 48.902,57 1,52 38.437,27 -5,76271460305337
48 1,01 49.412,41 0,78 38.281,67 -16,5156309791653
49 3,43 49.624,07 2,66 38.464,19 100,851723796514
50 -1,73 49.606,78 -1,33 38.051,95 128,085146602096
51 2,78 51.766,47 2,53 47.130,60 112,11676002186
52 1,75 52.018,57 1,73 51.233,10 222,421749443879
53 2,20 53.237,95 2,14 51.800,20 214,477725356248
54 -3,31 53.695,83 -3,26 52.812,60 219,141515209165
55 1,62 55.662,25 1,61 55.355,27 184,239932402169
56 0,83 56.545,90 0,87 59.647,36 181,323671145223
57 0,12 56.826,15 0,12 59.300,76 183,387672577858
58 0,19 57.233,89 0,20 60.873,30 100,940463294034
59 0,22 58.818,28 0,23 61.800,87 64,4227282130302
60 0,96 57.746,86 1,04 62.930,60 -72,3081885780104
61 0,57 57.755,23 0,60 61.015,90 -71,6193683312927
62 1,51 58.087,60 1,57 60.616,06 -70,4738185781504
63 1,60 60.003,62 1,67 62.810,76 -70,4544812356226
64 17,14 58.434,60 18,28 62.327,39 -73,6733828240727
65 0,76 58.339,24 0,77 58.790,02 -90,750963373057
66 0,09 58.473,38 0,09 59.010,29 -80,0803060924837
67 1,03 58.146,03 1,03 57.779,14 -80,7521824040679
68 0,18 58.873,41 0,17 55.581,96 -79,6652135945856
69 0,77 58.220,35 0,75 56.750,72 -82,8796091852715
70 0,53 59.702,50 0,49 56.097,52 -61,3994607281878
71 0,21 58.965,21 0,20 57.175,36 -62,086814306368
72 0,23 58.981,31 0,21 55.457,39 -62,9484533126271
73 2,45 60.067,13 2,30 56.346,32 -74,8834510029378
74 1,73 60.940,22 1,65 58.033,64 -77,3696421262018
75 9,78 61.072,62 9,34 58.309,29 -76,046293108077
76 0,50 61.711,56 0,47 57.872,06 -73,2182975607805
77 0,56 60.840,08 0,52 56.930,21 -26,5872511883374
78 -0,08 60.790,94 -0,07 55.517,64 -25,6357195836809
79 0,20 64.200,86 0,18 57.367,99 -34,1230371969836
80 70,91 63.746,40 67,50 60.681,22 9,8654405841755
81 30,97 64.637,66 27,47 57.339,95 32,6451627513125
82 4,89 65.998,96 5,56 75.033,49 39,024146797803
83 13,44 65.345,06 14,79 71.883,73 17,1626398389077
84 0,30 63.519,02 0,32 67.194,23 30,5406057443856
85 10,05 63.999,89 9,97 63.478,72 29,5154933890312
86 2,79 63.787,68 2,90 66.317,88 8,97095265439426
87 1,83 63.689,28 1,86 64.821,98 -33,3013424769747
88 0,04 63.535,09 0,04 65.031,33 -46,1039305592301
89 0,06 63.808,95 0,06 65.487,55 -46,1039305592301
90 4,95 64.668,81 5,01 65.459,51 -67,9304522244432
91 4,90 66.072,72 4,99 67.311,22 -61,9789637788623
92 5,39 65.921,65 5,43 66.352,18 -58,1050373032342
93 5,92 67.354,34 5,88 66.890,77 16,998829170984
94 0,28 67.993,01 0,29 71.711,94 -15,7270602648161
95 1,35 69.552,46 1,45 74.331,57 -27,7374787364621
96 3,06 70.292,91 3,33 76.535,66 -29,5787136169674
97 0,53 69.292,70 0,57 74.389,25 -43,6995205057493
98 -6,42 69.461,93 -6,69 72.365,44 -0,956041072812259
99 1,57 68.949,55 1,55 67.949,07 -1,05498474008841
100 6,46 70.202,05 6,40 69.559,72 24,62851594486
101 7,72 72.500,84 7,63 71.584,56 25,8740106588083
102 5,68 70.831,34 5,66 70.581,86 25,2601490936773
103 9,38 70.675,31 8,82 66.493,54 -12,3097846938059
104 12,46 70.560,31 11,75 66.577,12 -20,1563255814179
105 10,94 70.804,90 10,58 68.515,41 343,158383402269
106 2,04 71.268,69 2,02 70.613,13 343,267338496634
107 10,80 71.238,10 10,63 70.089,99 -56,2758641320593
108 1,38 71.393,54 1,33 68.791,02 -55,7838166533382
109 34,81 71.995,63 33,55 69.399,56 -5,02839821348032
110 0,30 72.054,41 0,29 69.953,45 -35,233381282155
111 13,12 72.330,36 12,64 69.700,64 -23,2319180530715
112 17,78 72.473,64 17,22 70.160,27 -23,1245346535849
113 42,16 72.849,68 40,63 70.203,32 -31,9352306662121
114 77,51 73.489,10 75,33 71.423,54 -28,5272744214669
115 67,58 74.217,94 66,31 72.829,20 -23,6432341347107
116 50,53 75.092,13 50,47 75.003,57 -1,80574516174109
117 9,31 75.256,63 9,45 76.374,46 -1,80574516174109
118 41,20 75.611,55 41,85 76.809,87 150,352879000225
119 19,34 75.975,53 19,81 77.828,87 150,352879000225
120 33,19 76.470,48 33,87 78.028,76 117,358972712609
121 37,71 76.681,92 38,90 79.114,34 117,358972712609
122 0,25 76.598,39 0,26 79.052,44 117,358972712609
123 7,63 76.438,67 7,92 79.260,08 146,754859896758
124 -0,10 76.521,37 -0,11 78.573,58 145,905244756793
125 4,60 76.781,74 4,72 78.917,05 145,905244756793
126 29,45 77.147,65 30,87 80.867,52 145,905244756793
127 31,10 77.316,80 32,91 81.800,65 101,999933275887
128 2,39 77.298,71 2,53 81.666,95 102,183351612711
129 9,60 77.316,55 10,05 80.968,58 -68,3322780827393
130 22,05 77.679,84 23,11 81.426,94 -68,3975746711618
131 64,54 77.966,61 68,29 82.490,14 -68,3975746711618
132 39,22 78.579,41 41,42 82.992,55 61,1996958702235
133 12,28 78.541,53 13,20 84.443,29 65,1318510823068
134 1,55 78.415,11 1,65 83.585,34 65,1318510823068
135 18,24 78.695,57 19,41 83.736,15 64,9000317397991
136 0,12 78.998,58 0,12 84.549,53 48,0279847689294
137 7,01 79.569,97 7,38 83.853,65 34,2826517372894
138 1,85 80.208,63 1,98 85.900,90 34,7154185786386
139 22,31 80.413,33 24,12 86.927,57 39,9463730337882
140 0,24 80.279,79 0,27 88.087,02 39,9463730337882
141 5,59 80.196,07 6,00 86.086,63 39,9463730337882
142 35,75 80.344,37 37,73 84.788,26 43,0423724240469
143 29,70 80.370,06 31,28 84.651,76 79,9944095156854
144 0,30 80.399,52 0,32 84.605,37 79,9944095156854
145 1,56 80.626,04 1,62 83.619,06 98,1328756587806
146 0,78 80.737,00 0,81 83.932,59 93,6428351085615
147 0,10 81.029,16 0,10 83.931,79 -12,8218289196381
148 0,03 80.918,65 0,03 83.964,05 -13,074808383668
149 0,04 80.728,73 0,04 83.302,28 -13,074808383668
150 2,40 80.991,09 2,45 82.781,16 -15,5432708423145
151 7,36 81.346,23 7,55 83.424,18 153,232363779251
152 0,58 81.430,69 0,61 84.616,23 153,232363779251
153 5,77 81.491,80 6,07 85.714,09 153,232363779251
154 0,41 81.847,62 0,43 87.156,17 185,896113869936
155 2,13 81.922,35 2,29 88.399,52 187,6331402012
156 -0,54 81.812,42 -0,58 88.338,50 187,6331402012
157 3,62 81.952,78 3,89 87.993,91 175,776925882275
158 13,66 81.721,80 14,76 88.321,96 188,480391173806
159 14,77 81.765,42 15,86 87.822,21 172,453505904149
160 36,34 81.864,94 39,08 88.022,99 183,606602439572
161 10,71 82.135,07 11,51 88.288,88 183,606602439572
162 18,41 82.042,75 19,62 87.420,00 181,013014335825
163 -0,14 81.933,87 -0,15 87.427,12 181,013014335825
164 3,63 81.825,20 3,88 87.424,76 181,013014335825
165 0,43 81.990,83 0,46 87.772,59 163,957273443345
166 0,85 82.023,25 0,91 87.900,23 163,957273443345
167 -0,27 82.073,74 -0,29 87.987,40 163,937377089126
168 0,96 81.846,54 1,03 88.027,48 169,247642867804
169 0,13 81.878,11 0,14 87.316,47 -79,9474847752819
170 1,61 82.005,45 1,71 87.161,44 -77,1092933566973
171 17,09 81.968,46 18,17 87.142,07 -77,9970329507949
172 2,18 81.888,55 2,32 86.927,04 -77,5059856621222
173 0,24 81.311,89 0,26 86.145,67 -78,9286080376804
174 0,37 81.336,22 0,38 85.024,26 -78,7270976078893
175 6,85 81.588,14 7,14 85.069,21 -12,7830612394189
