1000
0 1,00 33.212,20 28.275,37
1 1,23 34.863,95 28.281,37
2 1,22 34.628,51 28.287,37
3 1,22 34.600,12 28.293,37
4 1,22 34.539,52 28.299,37
5 1,22 34.539,73 28.305,37
6 1,22 34.539,73 28.311,37
7 1,22 34.539,73 28.317,37
8 1,22 34.539,73 28.323,37
9 1,22 34.539,73 28.329,37
10 1,22 34.539,73 28.335,37
11 1,22 34.539,73 28.341,37
12 1,22 34.539,73 28.347,37
13 1,22 34.539,73 28.353,37
14 1,22 34.539,73 28.359,37
15 1,22 34.539,73 28.365,37
16 1,22 34.539,73 28.371,37
17 1,22 34.539,73 28.377,37
18 1,22 34.539,73 28.383,37
19 1,22 34.539,73 28.389,37
20 1,22 34.539,73 28.395,37
21 1,22 34.539,73 28.401,37
22 1,22 34.539,73 28.407,37
23 1,22 34.539,73 28.413,37
24 1,22 34.539,73 28.419,37
25 1,22 34.539,73 28.425,37
26 1,22 34.539,73 28.431,37
27 1,22 34.539,73 28.437,37
28 1,22 34.539,73 28.443,37
29 1,22 34.539,73 28.449,37
30 1,22 34.539,73 28.455,37
31 1,81 51.466,29 28.468,37
32 1,50 42.752,62 28.468,37
33 1,54 43.887,04 28.468,37
34 1,57 44.757,87 28.468,37
35 1,52 43.245,95 28.468,37
36 1,57 44.698,71 28.468,37
37 1,51 43.032,82 28.468,37
38 1,52 43.217,67 28.468,37
39 1,50 42.723,12 28.468,37
40 1,51 42.852,73 28.468,37
41 1,48 42.239,33 28.468,37
42 1,48 42.248,69 28.468,37
43 1,48 42.258,53 28.468,37
44 1,48 42.270,13 28.468,37
45 1,49 42.279,25 28.468,37
46 1,49 42.323,13 28.468,37
47 1,49 42.301,56 28.468,37
48 1,49 42.311,05 28.468,37
49 1,49 42.315,40 28.468,37
50 1,49 42.319,76 28.468,37
51 1,49 42.319,76 28.468,37
52 1,49 42.319,76 28.468,37
53 1,49 42.323,10 28.468,37
54 1,49 42.320,70 28.468,37
55 1,49 42.320,70 28.468,37
56 1,49 42.319,23 28.468,37
57 1,49 42.319,23 28.468,37
58 1,49 42.319,23 28.468,37
59 1,49 42.319,23 28.468,37
60 1,49 42.319,23 28.468,37
61 1,49 42.322,40 28.468,37
62 1,49 42.324,48 28.468,37
63 1,49 42.325,18 28.468,37
64 1,49 42.325,86 28.468,37
65 1,49 42.322,55 28.468,37
66 1,49 42.323,22 28.468,37
67 1,49 42.323,87 28.468,37
68 1,49 42.323,87 28.468,37
69 1,49 42.323,87 28.468,37
70 1,49 42.323,87 28.468,37
71 1,49 42.323,87 28.468,37
72 1,49 42.323,87 28.468,37
73 1,49 42.323,87 28.468,37
74 1,49 42.322,74 28.468,37
75 1,49 42.322,74 28.468,37
76 1,49 42.322,74 28.468,37
77 1,49 42.322,74 28.468,37
78 1,49 42.321,66 28.468,37
79 1,49 42.321,66 28.468,37
80 1,49 42.321,66 28.468,37
81 1,49 42.321,66 28.468,37
82 1,49 42.321,66 28.468,37
83 1,49 42.321,66 28.468,37
84 1,49 42.321,66 28.468,37
85 1,49 42.321,66 28.468,37
86 1,49 42.321,66 28.468,37
87 1,49 42.321,66 28.468,37
88 1,49 42.321,66 28.468,37
89 1,49 42.322,18 28.468,37
90 1,49 42.322,18 28.468,37
91 1,49 42.319,26 28.468,37
92 1,49 42.315,85 28.468,37
93 1,49 42.315,92 28.468,37
94 1,49 42.316,71 28.468,37
95 1,49 42.316,71 28.468,37
96 1,49 42.316,32 28.468,37
97 1,49 42.315,92 28.468,37
98 1,49 42.315,92 28.468,37
99 1,49 42.315,92 28.468,37
100 1,49 42.315,92 28.468,37
101 1,49 42.315,92 28.468,37
102 1,49 42.315,92 28.468,37
103 1,49 42.315,92 28.468,37
104 1,49 42.315,92 28.468,37
105 1,49 42.315,92 28.468,37
106 1,49 42.315,92 28.468,37
107 1,49 42.315,92 28.468,37
108 1,49 42.315,92 28.468,37
109 1,49 42.315,92 28.468,37
110 1,49 42.315,92 28.468,37
111 1,49 42.315,92 28.468,37
112 1,49 42.315,92 28.468,37
113 1,49 42.315,92 28.468,37
114 1,49 42.315,92 28.468,37
115 1,49 42.315,92 28.468,37
116 1,49 42.315,92 28.468,37
117 1,49 42.315,92 28.468,37
118 1,49 42.315,92 28.468,37
119 1,49 42.315,85 28.468,37
120 1,49 42.315,85 28.468,37
121 1,49 42.315,85 28.468,37
122 1,49 42.315,85 28.468,37
123 1,49 42.315,85 28.468,37
124 1,49 42.315,85 28.468,37
125 1,49 42.315,85 28.468,37
126 1,49 42.315,85 28.468,37
127 1,49 42.315,85 28.468,37
128 1,49 42.315,85 28.468,37
129 1,49 42.315,85 28.468,37
130 1,49 42.315,85 28.468,37
131 1,49 42.315,85 28.468,37
